name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Joel Embiid,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1909,5,13,0,2,5,9,5,9,1,0,0,4,4,7.6,22.1.2018
Rudy Gobert,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,1677,2,6,0,0,2,3,2,8,1,3,3,3,3,7.6,22.1.2018
Alex Len,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,LOSS,1071,3,4,0,0,3,3,2,3,1,0,0,2,2,7.6,22.1.2018
Marcin Gortat,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,1063,2,7,0,0,2,4,6,5,1,0,0,0,0,7.5,22.1.2018
Vince Carter,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,LOSS,1116,2,3,2,3,0,0,0,3,1,0,2,0,1,7.3,22.1.2018
Jrue Holiday,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,2586,5,17,2,6,0,0,2,2,6,3,0,2,5,7.3,22.1.2018
Frank Kaminsky,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,WIN,1241,3,9,2,5,2,2,1,2,2,0,0,0,1,7.2,22.1.2018
Darius Miller,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,2435,3,10,3,9,1,1,1,7,2,1,0,1,3,7.2,22.1.2018
Justise Winslow,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,1671,3,6,1,3,0,1,1,3,4,0,0,0,2,7.2,22.1.2018
Isaiah Canaan,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,LOSS,1702,2,8,1,3,2,2,2,2,3,2,0,0,3,7.1,22.1.2018
Joe Ingles,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,1692,3,5,1,2,1,1,0,2,3,1,0,2,1,7.0,22.1.2018
Jonas Jerebko,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,1095,3,5,0,0,1,1,1,1,2,0,1,0,2,7.0,22.1.2018
Wesley Matthews,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,1770,5,12,4,8,0,0,0,3,1,2,0,3,3,7.0,22.1.2018
Derrick Jones,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,1772,3,6,0,1,0,1,3,2,1,1,3,1,3,6.9,22.1.2018
