team,opp,treatment,year,rest3.,rest1,rest2,points
GOLDEN STATE WARRIORS,MILWAUKEE BUCKS,1,2008,0,1,0,119
HOUSTON ROCKETS,DETROIT PISTONS,1,2006,0,0,0,91
MEMPHIS GRIZZLIES,NEW YORK KNICKS,1,2008,0,1,0,103
HOUSTON ROCKETS,MIAMI HEAT,1,2005,0,0,0,95
MIAMI HEAT,NEW YORK KNICKS,1,2008,0,0,0,122
INDIANA PACERS,LOS ANGELES CLIPPERS,1,2005,1,0,0,97
PORTLAND TRAIL BLAZERS,LOS ANGELES CLIPPERS,1,2006,0,1,0,86
PORTLAND TRAIL BLAZERS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2006,0,0,0,100
TORONTO RAPTORS,LOS ANGELES CLIPPERS,1,2008,0,0,0,100
MIAMI HEAT,CHICAGO BULLS,1,2006,0,1,-1,103
NEW ORLEANS HORNETS,LOS ANGELES CLIPPERS,1,2008,0,1,0,107
SACRAMENTO KINGS,LOS ANGELES CLIPPERS,1,2008,0,0,0,92
DETROIT PISTONS,MIAMI HEAT,1,2005,0,0,0,106
PHOENIX SUNS,CHICAGO BULLS,1,2005,0,0,0,118
SAN ANTONIO SPURS,CHARLOTTE BOBCATS,1,2008,0,1,-1,100
CHICAGO BULLS,PHILADELPHIA 76ERS,1,2007,0,0,0,85
HOUSTON ROCKETS,PHILADELPHIA 76ERS,1,2008,0,0,0,93
CHICAGO BULLS,MILWAUKEE BUCKS,1,2006,0,0,0,117
PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS,1,2005,0,0,0,81
SAN ANTONIO SPURS,PORTLAND TRAIL BLAZERS,1,2007,0,0,0,100
TORONTO RAPTORS,ATLANTA HAWKS,1,2004,0,0,0,112
MINNESOTA TIMBERWOLVES,INDIANA PACERS,1,2006,0,-1,1,86
ATLANTA HAWKS,MIAMI HEAT,1,2005,0,-1,0,74
DETROIT PISTONS,SAN ANTONIO SPURS,1,2008,0,0,0,79
PORTLAND TRAIL BLAZERS,UTAH JAZZ,1,2006,1,0,-1,94
TORONTO RAPTORS,CHARLOTTE BOBCATS,1,2006,0,-1,1,105
DETROIT PISTONS,CLEVELAND CAVALIERS,1,2005,0,-1,1,96
UTAH JAZZ,PORTLAND TRAIL BLAZERS,1,2008,0,0,0,97
LOS ANGELES CLIPPERS,MINNESOTA TIMBERWOLVES,1,2005,0,0,0,95
CHARLOTTE BOBCATS,HOUSTON ROCKETS,1,2005,0,-1,1,111
MIAMI HEAT,PHOENIX SUNS,1,2004,0,-1,1,125
DENVER NUGGETS,SACRAMENTO KINGS,1,2004,0,0,0,113
ATLANTA HAWKS,CLEVELAND CAVALIERS,1,2006,0,0,0,76
MINNESOTA TIMBERWOLVES,LOS ANGELES LAKERS,1,2005,0,0,1,95
BOSTON CELTICS,SAN ANTONIO SPURS,1,2005,0,0,0,82
MIAMI HEAT,WASHINGTON WIZARDS,1,2007,0,-1,1,91
NEW YORK KNICKS,DENVER NUGGETS,1,2004,0,0,0,107
NEW JERSEY NETS,CHARLOTTE BOBCATS,1,2007,0,0,0,102
NEW YORK KNICKS,CHICAGO BULLS,1,2005,0,1,0,101
LOS ANGELES CLIPPERS,SEATTLE SUPERSONICS,1,2005,0,0,0,98
HOUSTON ROCKETS,PHOENIX SUNS,1,2007,0,0,0,101
PHOENIX SUNS,DALLAS MAVERICKS,1,2008,0,1,0,128
SAN ANTONIO SPURS,PORTLAND TRAIL BLAZERS,1,2005,1,0,0,106
PORTLAND TRAIL BLAZERS,OKLAHOMA CITY THUNDER,1,2008,0,0,1,106
MIAMI HEAT,NEW ORLEANS HORNETS,1,2008,0,-1,1,87
WASHINGTON WIZARDS,ATLANTA HAWKS,1,2007,0,0,0,92
DETROIT PISTONS,CLEVELAND CAVALIERS,1,2004,0,0,0,81
ORLANDO MAGIC,MILWAUKEE BUCKS,1,2005,1,0,0,108
DENVER NUGGETS,SACRAMENTO KINGS,1,2006,1,0,0,96
SACRAMENTO KINGS,CHARLOTTE BOBCATS,1,2006,0,0,0,135
SEATTLE SUPERSONICS,PHILADELPHIA 76ERS,1,2007,0,1,0,90
MEMPHIS GRIZZLIES,MINNESOTA TIMBERWOLVES,1,2008,0,1,-1,87
LOS ANGELES LAKERS,SEATTLE SUPERSONICS,1,2006,0,1,0,109
NEW JERSEY NETS,PHILADELPHIA 76ERS,1,2008,0,0,0,96
SEATTLE SUPERSONICS,SACRAMENTO KINGS,1,2006,0,-1,1,93
PHILADELPHIA 76ERS,UTAH JAZZ,1,2004,0,1,0,101
LOS ANGELES LAKERS,WASHINGTON WIZARDS,1,2005,0,1,-1,97
NEW JERSEY NETS,CHARLOTTE BOBCATS,1,2005,0,0,0,113
CLEVELAND CAVALIERS,NEW YORK KNICKS,1,2004,0,-1,1,89
ORLANDO MAGIC,WASHINGTON WIZARDS,1,2007,0,-1,0,103
PHOENIX SUNS,HOUSTON ROCKETS,1,2004,0,1,-1,107
CLEVELAND CAVALIERS,NEW ORLEANS HORNETS,1,2007,1,0,0,99
GOLDEN STATE WARRIORS,NEW YORK KNICKS,1,2006,0,1,0,120
MILWAUKEE BUCKS,DETROIT PISTONS,1,2007,0,0,-1,91
NEW ORLEANS HORNETS,HOUSTON ROCKETS,1,2004,0,1,0,68
BOSTON CELTICS,ATLANTA HAWKS,1,2007,0,0,0,106
ATLANTA HAWKS,PHOENIX SUNS,1,2005,0,1,0,106
GOLDEN STATE WARRIORS,MINNESOTA TIMBERWOLVES,1,2007,0,0,0,108
NEW ORLEANS/OKLAHOMA CITY HORNETS,TORONTO RAPTORS,1,2005,0,0,0,95
PHILADELPHIA 76ERS,DENVER NUGGETS,1,2008,-1,0,0,89
OKLAHOMA CITY THUNDER,NEW ORLEANS HORNETS,1,2008,0,0,0,98
PHILADELPHIA 76ERS,INDIANA PACERS,1,2007,0,0,0,103
CHICAGO BULLS,MIAMI HEAT,1,2005,0,-1,1,97
GOLDEN STATE WARRIORS,CHICAGO BULLS,1,2005,0,0,0,100
MILWAUKEE BUCKS,DETROIT PISTONS,1,2006,1,-1,0,95
